Model Name,Threshold,Precision,Recall,F1 Score,ROC AUC,Jaccard Score,True Positives (TP),False Positives (FP),True Negatives (TN),False Negatives (FN),Total Savings ($),Cost of Operation ($),Net Savings ($)
Tuned Stacking Classifiers ADASYN (10 Features),0.4,0.10545699761386036,0.9477855477855478,0.1897960136302105,0.99362264822673,0.10484785972150593,2033,17245,536329,112,203300,183650,19650
Tuned Stacking Classifiers ADASYN (10 Features),0.5,0.11179300049759495,0.9426573426573427,0.19988137603795966,0.99362264822673,0.11103789126853378,2022,16065,537509,123,202200,172950,29250
Tuned Stacking Classifiers ADASYN (10 Features),0.6,0.12316931184508854,0.9370629370629371,0.2177209705372617,0.99362264822673,0.12215874559377658,2010,14309,539265,135,201000,156590,44410
Tuned Stacking Classifiers ADASYN (10 Features),0.7000000000000001,0.13525917926565875,0.9342657342657342,0.2363068215317493,0.99362264822673,0.13398408771812528,2004,12812,540762,141,200400,142220,58180
Tuned Stacking Classifiers ADASYN (10 Features),0.8,0.15226715686274508,0.9268065268065268,0.2615617393592527,0.99362264822673,0.15045788238855673,1988,11068,542506,157,198800,126380,72420
Tuned Stacking Classifiers ADASYN (10 Features),0.9,0.18875229890620462,0.9090909090909091,0.31260019236934916,0.99362264822673,0.18525555766673,1950,8381,545193,195,195000,103310,91690
Tuned Stacking Classifiers ADASYN (10 Features),0.95,0.2338375213466699,0.8937062937062937,0.37068548776950594,0.99362264822673,0.22751008782340376,1917,6281,547293,228,191700,85610,106090
Tuned Stacking Classifiers ADASYN (10 Features),0.98,0.3185668902223791,0.8414918414918415,0.4621687363973883,0.99362264822673,0.3005328005328005,1805,3861,549713,340,180500,72610,107890
Tuned Stacking Classifiers ADASYN (10 Features),0.99,0.8875530410183875,0.585081585081585,0.705254284911492,0.99362264822673,0.5447048611111112,1255,159,553415,890,125500,90590,34910
Base XGBoost Model (20 Features),0.02,0.3518550474547023,0.9505827505827505,0.5136020151133501,0.9979980954109073,0.3455346551431961,2039,3756,549818,106,203900,48160,155740
Base XGBoost Model (20 Features),0.1,0.6438038436050364,0.9058275058275058,0.7526631803215185,0.9979980954109073,0.603416149068323,1943,1075,552499,202,194300,30950,163350
Base XGBoost Model (20 Features),0.2,0.7483922829581994,0.8680652680652681,0.8037988344485215,0.9979980954109073,0.6719595813785637,1862,626,552948,283,186200,34560,151640
Base XGBoost Model (20 Features),0.30000000000000004,0.8097582811101164,0.8433566433566434,0.826216031057319,0.9979980954109073,0.7038910505836576,1809,425,553149,336,180900,37850,143050
Base XGBoost Model (20 Features),0.4,0.8603158933859822,0.8125874125874126,0.8357707983696955,0.9979980954109073,0.7178747940691927,1743,283,553291,402,174300,43030,131270
Base XGBoost Model (20 Features),0.5,0.8965336134453782,0.7958041958041958,0.8431711533712027,0.9979980954109073,0.728864218616567,1707,197,553377,438,170700,45770,124930
Base XGBoost Model (20 Features),0.6,0.9166666666666666,0.7794871794871795,0.8425296044343663,0.9979980954109073,0.7279059643012625,1672,152,553422,473,167200,48820,118380
Base XGBoost Model (20 Features),0.7000000000000001,0.9310344827586207,0.7552447552447552,0.833976833976834,0.9979980954109073,0.7152317880794702,1620,120,553454,525,162000,53700,108300
Base XGBoost Model (20 Features),0.8,0.9548780487804878,0.73006993006993,0.8274768824306473,0.9979980954109073,0.7057232987832357,1566,74,553500,579,156600,58640,97960
Base XGBoost Model (20 Features),0.9,0.9747340425531915,0.6834498834498834,0.8035078103590024,0.9979980954109073,0.6715529088410445,1466,38,553536,679,146600,68280,78320
Base XGBoost Model (20 Features),0.95,0.9897285399853265,0.6289044289044289,0.7690992018244014,0.9979980954109073,0.6248263084761464,1349,14,553560,796,134900,79740,55160
Base XGBoost Model (20 Features),0.98,0.9951219512195122,0.5706293706293706,0.7253333333333334,0.9979980954109073,0.5690376569037657,1224,6,553568,921,122400,92160,30240
Base XGBoost Model (20 Features),0.99,0.9991273996509599,0.5337995337995338,0.6958371315709511,0.9979980954109073,0.5335507921714818,1145,1,553573,1000,114500,100010,14490
Tuned XGBoost ADASYN (20 Features),0.02,0.019996077369222293,0.9981351981351981,0.039206709639613244,0.9959701477214945,0.01999533037590474,2141,104930,448644,4,214100,1049700,-835600
Tuned XGBoost ADASYN (20 Features),0.1,0.038793338297524564,0.9958041958041958,0.0746774813830717,0.9959701477214945,0.03878699836571636,2136,52925,500649,9,213600,530150,-316550
Tuned XGBoost ADASYN (20 Features),0.2,0.053521552049520645,0.9916083916083916,0.10156138089098983,0.9959701477214945,0.053497321361201236,2127,37614,515960,18,212700,377940,-165240
Tuned XGBoost ADASYN (20 Features),0.30000000000000004,0.06746550240606775,0.9869463869463869,0.12629757785467127,0.9959701477214945,0.06740535549399815,2117,29262,524312,28,211700,295420,-83720
Tuned XGBoost ADASYN (20 Features),0.4,0.08182734817342745,0.9836829836829837,0.15108660627976084,0.9959701477214945,0.08171643236125634,2110,23676,529898,35,211000,240260,-29260
Tuned XGBoost ADASYN (20 Features),0.5,0.0962171052631579,0.9818181818181818,0.17525901884908252,0.9959701477214945,0.09604597072102887,2106,19782,533792,39,210600,201720,8880
Tuned XGBoost ADASYN (20 Features),0.6,0.11275852806876176,0.9785547785547786,0.20221579961464353,0.9959701477214945,0.11248057446010395,2099,16516,537058,46,209900,169760,40140
Tuned XGBoost ADASYN (20 Features),0.7000000000000001,0.13338872555285697,0.972960372960373,0.23461300657635883,0.9959701477214945,0.1328960774325013,2087,13559,540015,58,208700,141390,67310
Tuned XGBoost ADASYN (20 Features),0.8,0.16215792362581352,0.9641025641025641,0.277621157202309,0.9959701477214945,0.16118472330475447,2068,10685,542889,77,206800,114550,92250
Tuned XGBoost ADASYN (20 Features),0.9,0.21393296206787854,0.9491841491841492,0.34916823872406105,0.9959701477214945,0.21151049241637232,2036,7481,546093,109,203600,85710,117890
